Altium Designer Pick and Place Locations
C:\Users\EliteBook\Desktop\Memristor\HW_SensorControlBoard_v3.1\HW\ProjectOutputs\V1\Pick Place\Pick Place for SensorControl_Board_v3.1.csv

========================================================================================================================
File Design Information:

Date:       14.01.22
Time:       20:27
Revision:   1c2f7808187aa03bbe970ec9a81e3c555ae97632
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P4_Col_Sens2","Header 7","TopLayer","HDR1X7","107.1200","47.2500","180","Header, 7-Pin"
"P4_Col_Sens1","Header 7","TopLayer","HDR1X7","107.1200","42.7500","180","Header, 7-Pin"
"C1","10nF","TopLayer","CER_0805","76.0000","69.4000","0","CAP CER 10n 50V X7R 10% 0805"
"C3","10uF","TopLayer","CER_0805","67.2750","72.3500","0","CAP CER 10u 25V X5R 10% 0805"
"C4","100uF","TopLayer","CER_1210","79.8030","83.7744","0","CAP CER 100u X5R 6.3V 10% 1210"
"C11","100n","BottomLayer","CER_0805","104.5500","74.0978","135",""
"C12","100n","BottomLayer","CER_0805","102.1022","71.7750","315",""
"C13","100n","BottomLayer","CER_0805","108.9750","71.1750","315",""
"C14","100n","BottomLayer","CER_0805","111.8500","68.6000","315",""
"C15","100n","BottomLayer","CER_0805","102.4114","63.4864","135",""
"C16","100n","BottomLayer","CER_0603","113.6000","75.6750","270","CAP CER 100n 10V X5R 10% 0603"
"C17","20pF","TopLayer","CER_0603","102.1500","77.3500","225","CAP CER 20p 0805"
"C18","20pF","TopLayer","CER_0603","96.6500","71.8500","45","CAP CER 20p 0805"
"C19","100n","BottomLayer","CER_0805","109.9000","63.8500","225",""
"CB_C1","100n","BottomLayer","CER_0603","100.6750","50.8000","180","CAP CER 100n 10V X5R 10% 0603"
"CB_C2","100n","BottomLayer","CER_0603","96.3500","50.6500","180","CAP CER 100n 10V X5R 10% 0603"
"CB_C3","100n","BottomLayer","CER_0603","94.7750","49.1250","180","CAP CER 100n 10V X5R 10% 0603"
"CB_J1","*","TopLayer","HM1x2","87.2700","53.5000","180",""
"CB_P1","RJ-11","TopLayer","RJ11-6N-B","70.4200","39.7450","90",""
